displacement,velocity,force
0.0,0.0,0.0
0.0044610993916175705,0.0743442213613068,0.0012808644678173225
0.0,0.0,0.0
0.03041428912227682,0.5068541282227432,0.008732507131279548
0.04111362598131076,0.17830444875580065,0.011804485405893964
0.0497283128929496,0.1435637573824612,0.014277921973396258
0.059116450277041516,0.15645330950589176,0.01697343053275849
0.05280311981437752,-0.10521165216029554,0.005852757018677734
0.039259014727019925,-0.22571251128081432,0.004351513221144453
0.05217935285082384,0.21531743483319227,0.014981661055547314
0.03556298981611901,-0.2769116899733561,0.003941841674945529
0.005212967114511375,-0.5057831283222912,0.0005778111212907003
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.01196010200700095,0.19931509994667085,0.0034339673581411686
0.012000446519831606,0.0006723413063228767,0.0034455510168808256
0.044285845090314774,0.538036167177102,0.012715288412993315
0.07615380789337751,0.5310796001130406,0.021865172249445255
0.13934299366483027,1.05304778088126,0.040007960764097586
0.20864890779068757,1.1549830589074115,0.05990697556305306
0.2507311886688713,0.701301210834932,0.07198957977556072
0.28200381597594304,0.5211583340723505,0.0809685317370856
0.2878295590313439,0.0970860080182554,0.08264121073910863
0.32420316553499096,0.606166152383278,0.0930847485415689
0.3851164762089863,1.0151203223821326,0.11057409105790948
0.473551860424515,1.473775677951786,0.1359655319104235
0.5858280214575282,1.8710822236151656,0.16820210245631698
0.6657236600101133,1.33146081647883,0.19114162376531785
0.7119105876683005,0.7697051494236897,0.204402748282333
0.7553403938692183,0.7237577203382944,0.2168722520354824
0.7693848861595179,0.23405146401784443,0.22090468654635226
0.8171488837145545,0.795987019254685,0.23461861711335916
0.8765030350170901,0.9891369314567567,0.25166029602410517
0.917430799061872,0.6820611878062892,0.26341141701698767
0.9248215848786184,0.1231674456360804,0.2655334488550826
0.9159702264204865,-0.14750788870476822,0.10152716715277546
0.8918159391109522,-0.4025311980133887,0.09884987885846633
0.8632433779119849,-0.47616173238079135,0.09568286413117892
0.8543135476636684,-0.14881562108819452,0.09469307173169261
0.8413691269870804,-0.21571877057533878,0.09325829762679232
0.8606021155409098,0.320517754249566,0.24709484679853236
0.9044595239133569,0.7308837105268307,0.2596871230747291
0.9217235955534453,0.28770575388207265,0.26464395859719964
0.9078339961014275,-0.2314701748678767,0.10062533825946667
0.8612340682121257,-0.776587798275215,0.09546014999061508
0.8431557794385267,-0.3012746824120274,0.09345633218823299
0.8498521370786218,0.1115948000721847,0.24400832837932415
0.8296776415276762,-0.33620796835650923,0.09196240026652563
0.7824401748666763,-0.7872123819055644,0.08672654648522227
0.7451105243293579,-0.6220986262044108,0.08258888615463728
0.6823960357836929,-1.0451369516135074,0.07563754191022992
